"ID";"AdmArea";"Month";"Year";"TotalAmount";"Suppliers";"global_id";
"29";"Юго-Восточный административный округ";"Июнь";"2016";"1659457540";"nested data";"171671261";
"30";"Южный административный округ";"Июнь";"2016";"1845444457";"nested data";"171671262";
"31";"Юго-Западный административный округ";"Июнь";"2016";"1708870209";"nested data";"171671263";
"32";"Западный административный округ";"Июнь";"2016";"1399188285";"nested data";"171671264";
"33";"Северо-Западный административный округ";"Июнь";"2016";"1008979222";"nested data";"171671265";
"34";"Зеленоградский административный округ";"Июнь";"2016";"329023226";"nested data";"171671266";
"35";"Новомосковский административный округ";"Июнь";"2016";"111595303";"nested data";"171671267";
"36";"Троицкий административный округ";"Июнь";"2016";"64914899";"nested data";"171671268";
"37";"Центральный административный округ";"Июль";"2016";"1029532179.83";"nested data";"278939752";
"38";"Северный административный округ";"Июль";"2016";"1387149539.41";"nested data";"278939753";
"39";"Северо-Восточный административный округ";"Июль";"2016";"1570840917.21";"nested data";"278939754";
"40";"Восточный административный округ";"Июль";"2016";"1783038816.31";"nested data";"278939755";
"41";"Юго-Восточный административный округ";"Июль";"2016";"1652866574.67";"nested data";"278939756";
"42";"Южный административный округ";"Июль";"2016";"1836219667.98";"nested data";"278939757";
"43";"Юго-Западный административный округ";"Июль";"2016";"1695226526.04";"nested data";"278939758";
"44";"Западный административный округ";"Июль";"2016";"1390229155.54";"nested data";"278939759";
"45";"Северо-Западный административный округ";"Июль";"2016";"1003355026";"nested data";"278939760";
"46";"Зеленоградский административный округ";"Июль";"2016";"327614175.64";"nested data";"278939761";
"47";"Новомосковский административный округ";"Июль";"2016";"108434946";"nested data";"278939762";
"48";"Троицкий административный округ";"Июль";"2016";"63910820.08";"nested data";"278939763";
"49";"Центральный административный округ";"Август";"2016";"1029563915";"nested data";"278939764";
"50";"Северный административный округ";"Август";"2016";"1396443463";"nested data";"278939765";
"51";"Северо-Восточный административный округ";"Август";"2016";"1572388484";"nested data";"278939766";
"52";"Восточный административный округ";"Август";"2016";"1811417636";"nested data";"278939767";
"53";"Юго-Восточный административный округ";"Август";"2016";"1659243008";"nested data";"278939768";
"54";"Южный административный округ";"Август";"2016";"1866206721";"nested data";"278939769";
"55";"Юго-Западный административный округ";"Август";"2016";"1714265991";"nested data";"278939770";
"56";"Западный административный округ";"Август";"2016";"1413210959";"nested data";"278939771";
"57";"Северо-Западный административный округ";"Август";"2016";"1013352313";"nested data";"278939772";
"58";"Зеленоградский административный округ";"Август";"2016";"333175975";"nested data";"278939773";
"59";"Новомосковский административный округ";"Август";"2016";"116274222.86";"nested data";"278939774";
"60";"Троицкий административный округ";"Август";"2016";"59967821.14";"nested data";"278939775";
"61";"Центральный административный округ";"Сентябрь";"2016";"1042438615";"nested data";"282191445";
"62";"Северный административный округ";"Сентябрь";"2016";"1428741988";"nested data";"282191450";
"63";"Северо-Восточный административный округ";"Сентябрь";"2016";"1593413654";"nested data";"282191455";
"64";"Восточный административный округ";"Сентябрь";"2016";"1817578094";"nested data";"282191458";
"65";"Юго-Восточный административный округ";"Сентябрь";"2016";"1679395906";"nested data";"282191460";
"66";"Южный административный округ";"Сентябрь";"2016";"1883883893";"nested data";"282191463";
"67";"Юго-Западный административный округ";"Сентябрь";"2016";"1739564134";"nested data";"282192196";
"68";"Западный административный округ";"Сентябрь";"2016";"1423847820";"nested data";"282192198";
"69";"Северо-Западный административный округ";"Сентябрь";"2016";"1033043233";"nested data";"282192202";
"70";"Зеленоградский административный округ";"Сентябрь";"2016";"334071335";"nested data";"282192204";
"71";"Новомосковский административный округ";"Сентябрь";"2016";"141233130";"nested data";"282192207";
"72";"Троицкий административный округ";"Сентябрь";"2016";"61386340";"nested data";"282192209";
"73";"Центральный административный округ";"Октябрь";"2016";"1065523860";"nested data";"282192211";
"74";"Северный административный округ";"Октябрь";"2016";"1456834154";"nested data";"282192213";
"75";"Северо-Восточный административный округ";"Октябрь";"2016";"1635362938";"nested data";"282192215";
"76";"Восточный административный округ";"Октябрь";"2016";"1860453301";"nested data";"282192223";
"77";"Юго-Восточный административный округ";"Октябрь";"2016";"1708645816";"nested data";"282192242";
"78";"Южный административный округ";"Октябрь";"2016";"1916341247";"nested data";"282192249";
"79";"Юго-Западный административный округ";"Октябрь";"2016";"1778957809";"nested data";"282192251";
"80";"Западный административный округ";"Октябрь";"2016";"1469443650";"nested data";"282192253";
"81";"Северо-Западный административный округ";"Октябрь";"2016";"1062159313";"nested data";"282192254";
"82";"Зеленоградский административный округ";"Октябрь";"2016";"345901114";"nested data";"282193080";
"83";"Новомосковский административный округ";"Октябрь";"2016";"180552696";"nested data";"282193892";
"84";"Троицкий административный округ";"Октябрь";"2016";"76107488";"nested data";"282194796";
"85";"Центральный административный округ";"Ноябрь";"2016";"1072033883";"nested data";"282196211";
"86";"Северный административный округ";"Ноябрь";"2016";"1479153663";"nested data";"282198267";
"87";"Северо-Восточный административный округ";"Ноябрь";"2016";"1662908416";"nested data";"282198268";
"88";"Восточный административный округ";"Ноябрь";"2016";"1894737033";"nested data";"282198272";
"89";"Юго-Восточный административный округ";"Ноябрь";"2016";"1755020520";"nested data";"282198276";
"90";"Южный административный округ";"Ноябрь";"2016";"1958133995";"nested data";"282198282";
"91";"Юго-Западный административный округ";"Ноябрь";"2016";"1812664401";"nested data";"282198301";
"92";"Западный административный округ";"Ноябрь";"2016";"1488607824";"nested data";"282198362";
"93";"Северо-Западный административный округ";"Ноябрь";"2016";"1065679582";"nested data";"282198364";
"94";"Зеленоградский административный округ";"Ноябрь";"2016";"350711807";"nested data";"282198365";
"95";"Новомосковский административный округ";"Ноябрь";"2016";"190624041";"nested data";"282198366";
"96";"Троицкий административный округ";"Ноябрь";"2016";"81834967";"nested data";"282198368";
"97";"Центральный административный округ";"Декабрь";"2016";"1083268627";"nested data";"284597913";
"98";"Северный административный округ";"Декабрь";"2016";"1499963780";"nested data";"284597918";
"99";"Северо-Восточный административный округ";"Декабрь";"2016";"1693919455";"nested data";"284597920";
"100";"Восточный административный округ";"Декабрь";"2016";"1916420673";"nested data";"284597921";
"101";"Юго-Восточный административный округ";"Декабрь";"2016";"1791545499";"nested data";"284597937";
"102";"Южный административный округ";"Декабрь";"2016";"1989380816";"nested data";"284597954";
"103";"Юго-Западный административный округ";"Декабрь";"2016";"1838254887";"nested data";"284597955";
"104";"Западный административный округ";"Декабрь";"2016";"1503699594";"nested data";"284597956";
"105";"Северо-Западный административный округ";"Декабрь";"2016";"1083698401";"nested data";"284597959";
"106";"Зеленоградский административный округ";"Декабрь";"2016";"354678314";"nested data";"284597978";
"107";"Новомосковский административный округ";"Декабрь";"2016";"200498713";"nested data";"284597995";
"108";"Троицкий административный округ";"Декабрь";"2016";"79458629";"nested data";"284598013";
"109";"Центральный административный округ";"Январь";"2017";"1103915545.5";"nested data";"612938960";
"110";"Северный административный округ";"Январь";"2017";"1519741507.48";"nested data";"612940485";
"111";"Северо-Восточный административный округ";"Январь";"2017";"1702709353.42";"nested data";"612940804";
"112";"Восточный административный округ";"Январь";"2017";"1915524450.69";"nested data";"612941409";
"113";"Юго-Восточный административный округ";"Январь";"2017";"1784142915.87";"nested data";"612941657";
"114";"Южный административный округ";"Январь";"2017";"2013104457.38";"nested data";"612941874";
"115";"Юго-Западный административный округ";"Январь";"2017";"1837763557.34";"nested data";"612942110";
"116";"Западный административный округ";"Январь";"2017";"1500949980.18";"nested data";"612942310";
"117";"Северо-Западный административный округ";"Январь";"2017";"1109538110.97";"nested data";"612942545";
"118";"Зеленоградский административный округ";"Январь";"2017";"354734965.34";"nested data";"612942751";
"119";"Новомосковский административный округ";"Январь";"2017";"197250308.5";"nested data";"612942927";
"120";"Троицкий административный округ";"Январь";"2017";"84701070.28";"nested data";"612943096";
"121";"Центральный административный округ";"Февраль";"2017";"1129023935.08";"nested data";"612943334";
"122";"Северный административный округ";"Февраль";"2017";"1602594629";"nested data";"612943579";
"123";"Северо-Восточный административный округ";"Февраль";"2017";"1830053108.39";"nested data";"612943832";
"124";"Восточный административный округ";"Февраль";"2017";"2048272135.71";"nested data";"612944068";
"125";"Юго-Восточный административный округ";"Февраль";"2017";"1939248442.77";"nested data";"612944319";
"126";"Южный административный округ";"Февраль";"2017";"2118182742.97";"nested data";"612944565";
"127";"Юго-Западный административный округ";"Февраль";"2017";"1988362478.96";"nested data";"612944796";
"128";"Западный административный округ";"Февраль";"2017";"1612242419.26";"nested data";"612945084";
"129";"Северо-Западный административный округ";"Февраль";"2017";"1181947947.51";"nested data";"612945348";
"130";"Зеленоградский административный округ";"Февраль";"2017";"391736625.74";"nested data";"612945627";
"131";"Новомосковский административный округ";"Февраль";"2017";"184551646.1";"nested data";"612945889";
"132";"Троицкий административный округ";"Февраль";"2017";"85639635.02";"nested data";"612946010";
"133";"Центральный административный округ";"Март";"2017";"1111853811.94";"nested data";"612947382";
"134";"Северный административный округ";"Март";"2017";"1556592806.34";"nested data";"612947580";
"135";"Северо-Восточный административный округ";"Март";"2017";"1767286992.79";"nested data";"612948048";
"136";"Восточный административный округ";"Март";"2017";"1983749367.58";"nested data";"612948289";
"137";"Юго-Восточный административный округ";"Март";"2017";"1862179109.23";"nested data";"612948569";
"138";"Южный административный округ";"Март";"2017";"2061539998.25";"nested data";"612948820";
"139";"Юго-Западный административный округ";"Март";"2017";"1902116771.12";"nested data";"612949230";
"140";"Западный административный округ";"Март";"2017";"1566143412.81";"nested data";"612949443";
"141";"Северо-Западный административный округ";"Март";"2017";"1140745813.25";"nested data";"612949935";
"142";"Зеленоградский административный округ";"Март";"2017";"364278791.63";"nested data";"612956879";
"143";"Новомосковский административный округ";"Март";"2017";"184085464.56";"nested data";"612957235";
"144";"Троицкий административный округ";"Март";"2017";"83765315.95";"nested data";"612957515";
"145";"Центральный административный округ";"Апрель";"2017";"1115320815.67";"nested data";"612957874";
"146";"Северный административный округ";"Апрель";"2017";"1565914257.71";"nested data";"612958433";
"147";"Северо-Восточный административный округ";"Апрель";"2017";"1760543566.49";"nested data";"612959108";
"148";"Восточный административный округ";"Апрель";"2017";"1962801541.04";"nested data";"612959968";
"149";"Юго-Восточный административный округ";"Апрель";"2017";"1891634093.84";"nested data";"612960654";
"150";"Южный административный округ";"Апрель";"2017";"2049505221.08";"nested data";"612961115";
"151";"Юго-Западный административный округ";"Апрель";"2017";"1893320248.98";"nested data";"612961497";
"152";"Западный административный округ";"Апрель";"2017";"1561548332.34";"nested data";"612961863";
"153";"Северо-Западный административный округ";"Апрель";"2017";"1139394713.31";"nested data";"612962335";
"154";"Зеленоградский административный округ";"Апрель";"2017";"361561082.06";"nested data";"613105392";
"155";"Новомосковский административный округ";"Апрель";"2017";"182487007.17";"nested data";"613105895";
"156";"Троицкий административный округ";"Апрель";"2017";"78910739.31";"nested data";"613106277";
"157";"Центральный административный округ";"Май";"2017";"56222516.13";"nested data";"613106851";
"158";"Северный административный округ";"Май";"2017";"1549536326.29";"nested data";"613107683";
"159";"Северо-Восточный административный округ";"Май";"2017";"1773574570.16";"nested data";"613108562";
"160";"Восточный административный округ";"Май";"2017";"1551117859.57";"nested data";"613108998";
"161";"Юго-Восточный административный округ";"Май";"2017";"1551117859.57";"nested data";"613110007";
"162";"Южный административный округ";"Май";"2017";"2055586780.58";"nested data";"613110446";
"163";"Юго-Западный административный округ";"Май";"2017";"1903266948.33";"nested data";"613111354";
"164";"Западный административный округ";"Май";"2017";"1551117859.57";"nested data";"613111974";
"165";"Северо-Западный административный округ";"Май";"2017";"1138149599.18";"nested data";"613112542";
"166";"Зеленоградский административный округ";"Май";"2017";"376301365.53";"nested data";"613113202";
"167";"Новомосковский административный округ";"Май";"2017";"165598679.36";"nested data";"613113621";
"168";"Троицкий административный округ";"Май";"2017";"72340939.08";"nested data";"613113986";
"169";"Центральный административный округ";"Июнь";"2017";"1131309445.43";"nested data";"613114399";
"170";"Северный административный округ";"Июнь";"2017";"1543550433.92";"nested data";"613115403";
"171";"Северо-Восточный административный округ";"Июнь";"2017";"1762663605.91";"nested data";"613115547";
"172";"Восточный административный округ";"Июнь";"2017";"1551117859.57";"nested data";"613116468";
"174";"Юго-Восточный административный округ";"Июнь";"2017";"1551117859.57";"nested data";"613118118";
"175";"Южный административный округ";"Июнь";"2017";"2050001331.2";"nested data";"613119029";
"176";"Юго-Западный административный округ";"Июнь";"2017";"1908293173.76";"nested data";"613119834";
"177";"Западный административный округ";"Июнь";"2017";"1549402637.65";"nested data";"613120365";
"178";"Северо-Западный административный округ";"Июнь";"2017";"1130643030.02";"nested data";"613121257";
"179";"Зеленоградский административный округ";"Июнь";"2017";"369272728.49";"nested data";"613122037";
"180";"Новомосковский административный округ";"Июнь";"2017";"167198204.73";"nested data";"613123134";
"181";"Троицкий административный округ";"Июнь";"2017";"60588746.8";"nested data";"613123605";
"182";"Центральный административный округ";"Июль";"2017";"1197215543.72";"nested data";"885810666";
"183";"Северный административный округ";"Июль";"2017";"1625745927.23";"nested data";"885810775";
"184";"Северо-Восточный административный округ";"Июль";"2017";"1851765323.55";"nested data";"885810827";
"185";"Восточный административный округ";"Июль";"2017";"2079495977.31";"nested data";"885810849";
"186";"Юго-Восточный административный округ";"Июль";"2017";"1957232637.67";"nested data";"885810877";
"187";"Южный административный округ";"Июль";"2017";"2163874800.22";"nested data";"885810895";
"188";"Юго-Западный административный округ";"Июль";"2017";"2015363839.59";"nested data";"885810923";
"189";"Западный административный округ";"Июль";"2017";"1632655140.07";"nested data";"885810977";
"190";"Северо-Западный административный округ";"Июль";"2017";"1200658638.52";"nested data";"885811012";
"191";"Зеленоградский административный округ";"Июль";"2017";"386292300.52";"nested data";"885811063";
"192";"Новомосковский административный округ";"Июль";"2017";"169374095.61";"nested data";"885811095";
"193";"Троицкий административный округ";"Июль";"2017";"73339587.41";"nested data";"885811107";
"326";"Центральный административный округ";"Июль";"2018";"1231668213.78";"nested data";"885811216";
"327";"Северный административный округ";"Июль";"2018";"1626617950.07";"nested data";"885811243";
"328";"Северо-Восточный административный округ";"Июль";"2018";"1847969585.16";"nested data";"885811282";
"329";"Восточный административный округ";"Июль";"2018";"2043251422.98";"nested data";"885811317";
"330";"Юго-Восточный административный округ";"Июль";"2018";"1932796868.51";"nested data";"885811362";
"331";"Южный административный округ";"Июль";"2018";"2148020318.76";"nested data";"885811411";
"332";"Юго-Западный административный округ";"Июль";"2018";"2023271632.57";"nested data";"885811456";
"333";"Западный административный округ";"Июль";"2018";"1628534723.89";"nested data";"885811496";
"334";"Северо-Западный административный округ";"Июль";"2018";"1186714373.85";"nested data";"885811563";
"335";"Зеленоградский административный округ";"Июль";"2018";"385688856.99";"nested data";"885811592";
"336";"Новомосковский административный округ";"Июль";"2018";"195022283.86";"nested data";"885811623";
"337";"Троицкий административный округ";"Июль";"2018";"65656775.62";"nested data";"885811636";
"314";"Центральный административный округ";"Июнь";"2018";"1230541429.98";"nested data";"885813176";
"315";"Северный административный округ";"Июнь";"2018";"1630943187.66";"nested data";"885813214";
"316";"Северо-Восточный административный округ";"Июнь";"2018";"1873090823.98";"nested data";"885813419";
"317";"Восточный административный округ";"Июнь";"2018";"2054962473.25";"nested data";"885813494";
"318";"Юго-Восточный административный округ";"Июнь";"2018";"1939536229.23";"nested data";"885813524";
"319";"Южный административный округ";"Июнь";"2018";"2153349310.51";"nested data";"885813546";
"320";"Юго-Западный административный округ";"Июнь";"2018";"2024487389.48";"nested data";"885813557";
"321";"Западный административный округ";"Июнь";"2018";"1638254408.07";"nested data";"885813590";
"322";"Северо-Западный административный округ";"Июнь";"2018";"1197612729.76";"nested data";"885813620";
"323";"Зеленоградский административный округ";"Июнь";"2018";"388347881.96";"nested data";"885813655";
"324";"Новомосковский административный округ";"Июнь";"2018";"196509932.63";"nested data";"885813678";
"325";"Троицкий административный округ";"Июнь";"2018";"66919372.58";"nested data";"885813700";
"302";"Центральный административный округ";"Май";"2018";"1247099349.01";"nested data";"885813824";
"303";"Северный административный округ";"Май";"2018";"1657097631.63";"nested data";"885813956";
"304";"Северо-Восточный административный округ";"Май";"2018";"1904264992.42";"nested data";"885814687";
"305";"Восточный административный округ";"Май";"2018";"2075303073.61";"nested data";"885815775";
"306";"Юго-Восточный административный округ";"Май";"2018";"1988236582.12";"nested data";"885816083";
"307";"Южный административный округ";"Май";"2018";"2192147385.45";"nested data";"885816123";
"308";"Юго-Западный административный округ";"Май";"2018";"207054076.67";"nested data";"885816149";
"309";"Западный административный округ";"Май";"2018";"1612574935.56";"nested data";"885816189";
"310";"Северо-Западный административный округ";"Май";"2018";"1218435760.02";"nested data";"885816320";
"311";"Зеленоградский административный округ";"Май";"2018";"394841732.16";"nested data";"885816362";
"312";"Новомосковский административный округ";"Май";"2018";"218264493.9";"nested data";"885816390";
"313";"Троицкий административный округ";"Май";"2018";"84981749.7";"nested data";"885816423";
"278";"Центральный административный округ";"Март";"2018";"1238932233.52";"nested data";"885817024";
"279";"Северный административный округ";"Март";"2018";"1657072477.47";"nested data";"885817042";
"280";"Северо-Восточный административный округ";"Март";"2018";"1900823173.86";"nested data";"885817190";
"281";"Восточный административный округ";"Март";"2018";"2081875441.49";"nested data";"885817216";
"282";"Юго-Восточный административный округ";"Март";"2018";"1979967108.92";"nested data";"885817450";
"283";"Южный административный округ";"Март";"2018";"2217593271.63";"nested data";"885817480";
"284";"Юго-Западный административный округ";"Март";"2018";"2069818543.66";"nested data";"885817493";
"285";"Западный административный округ";"Март";"2018";"1667094000.82";"nested data";"885817510";
"286";"Северо-Западный административный округ";"Март";"2018";"1221983061.9";"nested data";"885817520";
"287";"Зеленоградский административный округ";"Март";"2018";"394883273.6";"nested data";"885817544";
"288";"Новомосковский административный округ";"Март";"2018";"237537488.5";"nested data";"885817568";
"289";"Троицкий административный округ";"Март";"2018";"96548484.74";"nested data";"885817583";
"290";"Центральный административный округ";"Февраль";"2018";"1247523024.93";"nested data";"885817661";
"291";"Северный административный округ";"Февраль";"2018";"1668723347.52";"nested data";"885817674";
"292";"Северо-Восточный административный округ";"Февраль";"2018";"1892090625.7";"nested data";"885817693";
"293";"Восточный административный округ";"Февраль";"2018";"2079355848.66";"nested data";"885817714";
"294";"Юго-Восточный административный округ";"Февраль";"2018";"1980387049.43";"nested data";"885817776";
"295";"Южный административный округ";"Февраль";"2018";"2222047455.51";"nested data";"885817925";
"296";"Юго-Западный административный округ";"Февраль";"2018";"2065245120.58";"nested data";"885817957";
"297";"Западный административный округ";"Февраль";"2018";"1665740631.71";"nested data";"885817989";
"298";"Северо-Западный административный округ";"Февраль";"2018";"1216452851.99";"nested data";"885818017";
"299";"Зеленоградский административный округ";"Февраль";"2018";"401458771.12";"nested data";"885818053";
"300";"Новомосковский административный округ";"Февраль";"2018";"237545530.26";"nested data";"885818068";
"301";"Троицкий административный округ";"Февраль";"2018";"98505288.13";"nested data";"885818071";
"266";"Центральный административный округ";"Январь";"2018";"1255932407.09";"nested data";"885818212";
"267";"Северный административный округ";"Январь";"2018";"1668939491.04";"nested data";"885818232";
"268";"Северо-Восточный административный округ";"Январь";"2018";"1921247502.3";"nested data";"885818243";
"269";"Восточный административный округ";"Январь";"2018";"2109064499.43";"nested data";"885818265";
"270";"Юго-Восточный административный округ";"Январь";"2018";"1998495345.4";"nested data";"885818287";
"271";"Южный административный округ";"Январь";"2018";"2232401895.58";"nested data";"885818299";
"272";"Юго-Западный административный округ";"Январь";"2018";"2062730416.51";"nested data";"885818313";
"273";"Западный административный округ";"Январь";"2018";"1690846628.62";"nested data";"885818330";
"274";"Северо-Западный административный округ";"Январь";"2018";"1234697415.7";"nested data";"885818341";
"275";"Зеленоградский административный округ";"Январь";"2018";"397195626.33";"nested data";"885818362";
"276";"Новомосковский административный округ";"Январь";"2018";"226105736.09";"nested data";"885818374";
"277";"Троицкий административный округ";"Январь";"2018";"90650655.14";"nested data";"885818384";
"338";"Центральный административный округ";"Февраль";"2019";"1318968869";"nested data";"915889876";
"339";"Северный административный округ";"Февраль";"2019";"1831562119.51";"nested data";"915889877";
"340";"Северо-Восточный административный округ";"Февраль";"2019";"2072768012.22";"nested data";"915889878";
"341";"Восточный административный округ";"Февраль";"2019";"2271854463.85";"nested data";"915889879";
"342";"Юго-Восточный административный округ";"Февраль";"2019";"2175699593.46";"nested data";"915889880";
"343";"Южный административный округ";"Февраль";"2019";"2396176820.88";"nested data";"915889881";
"344";"Юго-Западный административный округ";"Февраль";"2019";"2264748489.03";"nested data";"915889882";
"345";"Западный административный округ";"Февраль";"2019";"1825240567.21";"nested data";"915889883";
"346";"Северо-Западный административный округ";"Февраль";"2019";"1331422403.3";"nested data";"915889884";
"347";"Зеленоградский административный округ";"Февраль";"2019";"418664096.17";"nested data";"915889886";
"348";"Новомосковский административный округ";"Февраль";"2019";"266425316.12";"nested data";"915889888";
"349";"Троицкий административный округ";"Февраль";"2019";"118886503.01";"nested data";"915889889";
"350";"Центральный административный округ";"Сентябрь";"2017";"1212037226.66";"nested data";"918727981";
"351";"Северный административный округ";"Сентябрь";"2017";"1599651230.45";"nested data";"918728216";
"352";"Северо-Восточный административный округ";"Сентябрь";"2017";"1825393711.28";"nested data";"918728553";
"353";"Восточный административный округ";"Сентябрь";"2017";"2021715676.69";"nested data";"918728790";
"354";"Юго-Восточный административный округ";"Сентябрь";"2017";"1920471981.04";"nested data";"918729114";
"355";"Южный административный округ";"Сентябрь";"2017";"2132354503.21";"nested data";"918729387";
"356";"Юго-Западный административный округ";"Сентябрь";"2017";"1989465537.15";"nested data";"918729717";
"357";"Западный административный округ";"Сентябрь";"2017";"1613406224.97";"nested data";"918729921";
"358";"Северо-Западный административный округ";"Сентябрь";"2017";"1191076213.79";"nested data";"918729944";
"359";"Зеленоградский административный округ";"Сентябрь";"2017";"380241389.96";"nested data";"918730129";
"360";"Новомосковский административный округ";"Сентябрь";"2017";"192882088.49";"nested data";"918730161";
"361";"Троицкий административный округ";"Сентябрь";"2017";"68419219.56";"nested data";"918730178";
"362";"Центральный административный округ";"Ноябрь";"2018";"1249987014.8";"nested data";"919119829";
"363";"Северный административный округ";"Ноябрь";"2018";"1673224959.09";"nested data";"919119834";
"364";"Северо-Восточный административный округ";"Ноябрь";"2018";"1894486071.97";"nested data";"919119881";
"365";"Восточный административный округ";"Ноябрь";"2018";"2092427109.98";"nested data";"919119912";
"366";"Юго-Восточный административный округ";"Ноябрь";"2018";"1983609669.54";"nested data";"919119989";
"367";"Южный административный округ";"Ноябрь";"2018";"2198533692.09";"nested data";"919120039";
"368";"Юго-Западный административный округ";"Ноябрь";"2018";"2042801505.5";"nested data";"919120747";
"369";"Западный административный округ";"Ноябрь";"2018";"1686486992.73";"nested data";"919120758";
"370";"Северо-Западный административный округ";"Ноябрь";"2018";"1214616616.74";"nested data";"919120774";
"371";"Зеленоградский административный округ";"Ноябрь";"2018";"389147262";"nested data";"919120795";
"372";"Новомосковский административный округ";"Ноябрь";"2018";"241460571.6";"nested data";"919120804";
"373";"Троицкий административный округ";"Ноябрь";"2018";"109243394.1";"nested data";"919120821";
"374";"Центральный административный округ";"Октябрь";"2018";"1236657418.57";"nested data";"919120896";
"375";"Северный административный округ";"Октябрь";"2018";"1624493333.31";"nested data";"919120898";
"376";"Северо-Восточный административный округ";"Октябрь";"2018";"1877699041.02";"nested data";"919120917";
"377";"Восточный административный округ";"Октябрь";"2018";"2068348755.65";"nested data";"919120918";
"378";"Юго-Восточный административный округ";"Октябрь";"2018";"1950688805.54";"nested data";"919120920";
"379";"Южный административный округ";"Октябрь";"2018";"2174406101.5";"nested data";"919120941";
"380";"Юго-Западный административный округ";"Октябрь";"2018";"2028891415.74";"nested data";"919120943";
"381";"Западный административный округ";"Октябрь";"2018";"1662831530.4";"nested data";"919120946";
"382";"Северо-Западный административный округ";"Октябрь";"2018";"1197152952.5";"nested data";"919120948";
"383";"Зеленоградский административный округ";"Октябрь";"2018";"384574488";"nested data";"919121265";
"384";"Новомосковский административный округ";"Октябрь";"2018";"218093852.81";"nested data";"919121441";
"385";"Троицкий административный округ";"Октябрь";"2018";"75576692.79";"nested data";"919121563";
"386";"Центральный административный округ";"Сентябрь";"2018";"1221825452.9";"nested data";"919122314";
"387";"Северный административный округ";"Сентябрь";"2018";"1596048024.01";"nested data";"919122473";
"388";"Северо-Восточный административный округ";"Сентябрь";"2018";"1838610437.11";"nested data";"919122615";
"389";"Восточный административный округ";"Сентябрь";"2018";"2019425369.08";"nested data";"919122805";
"390";"Юго-Восточный административный округ";"Сентябрь";"2018";"1913392216.9";"nested data";"919122973";
"391";"Южный административный округ";"Сентябрь";"2018";"2123933799.83";"nested data";"919122975";
"392";"Юго-Западный административный округ";"Сентябрь";"2018";"1987505983.74";"nested data";"919122977";
"393";"Западный административный округ";"Сентябрь";"2018";"1620464790.6";"nested data";"919122981";
"394";"Северо-Западный административный округ";"Сентябрь";"2018";"1171078817.72";"nested data";"919122986";
"395";"Зеленоградский административный округ";"Сентябрь";"2018";"377608395.87";"nested data";"919122987";
"396";"Новомосковский административный округ";"Сентябрь";"2018";"212704550.32";"nested data";"919122988";
"397";"Троицкий административный округ";"Сентябрь";"2018";"67971642.79";"nested data";"919122989";
"398";"Центральный административный округ";"Декабрь";"2018";"1250072335";"nested data";"920164354";
"399";"Северный административный округ";"Декабрь";"2018";"1679943518";"nested data";"920164355";
